PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31656123","Speed in a high-speed society","Hydén C.","Int J Inj Contr Saf Promot. 2020 Mar;27(1):44-50. doi: 10.1080/17457300.2019.1680566. Epub 2019 Oct 28.","Hydén C","Int J Inj Contr Saf Promot","2020","2019/10/29","","","10.1080/17457300.2019.1680566"
"26121670","Factors Associated with the Perception of Speed among Recreational Skiers","Brunner F, Ruedl G, Kopp M, Burtscher M.","PLoS One. 2015 Jun 29;10(6):e0132002. doi: 10.1371/journal.pone.0132002. eCollection 2015.","Brunner F","PLoS One","2015","2015/06/30","PMC4485465","","10.1371/journal.pone.0132002"
"31906717","Factors affecting injury severity of single-vehicle rollover crashes in the United States","Khan IU, Vachal K.","Traffic Inj Prev. 2020;21(1):66-71. doi: 10.1080/15389588.2019.1696962. Epub 2020 Jan 6.","Khan IU","Traffic Inj Prev","2020","2020/01/08","","","10.1080/15389588.2019.1696962"
"36126400","Modeling the impact of the COVID-19 pandemic on speeding at rural roadway facilities in Maine using short-term speed and traffic count data","Shahlaee A, Shirazi M, Marshall E, Ivan JN.","Accid Anal Prev. 2022 Nov;177:106828. doi: 10.1016/j.aap.2022.106828. Epub 2022 Sep 6.","Shahlaee A","Accid Anal Prev","2022","2022/09/20","PMC9444491","","10.1016/j.aap.2022.106828"
"37047924","Managing Accident Prevention in Ski Resorts: Participants' Actual Velocities in Slow Zones","Carus L, Mamaqi-Kapllani X.","Int J Environ Res Public Health. 2023 Mar 29;20(7):5302. doi: 10.3390/ijerph20075302.","Carus L","Int J Environ Res Public Health","2023","2023/04/13","PMC10094303","","10.3390/ijerph20075302"
"27038499","The influence of the elements of procedural justice and speed camera enforcement on young novice driver self-reported speeding","Bates L, Allen S, Watson B.","Accid Anal Prev. 2016 Jul;92:34-42. doi: 10.1016/j.aap.2016.03.023. Epub 2016 Mar 31.","Bates L","Accid Anal Prev","2016","2016/04/04","","","10.1016/j.aap.2016.03.023"
"30926753","Road safety risk factors for non-motorised vehicle users in a Chinese city: an observational study","Li Q, Yu S, Chen T, Bishai DM, Bachani A, Hyder AA.","Inj Prev. 2020 Apr;26(2):116-122. doi: 10.1136/injuryprev-2018-043071. Epub 2019 Mar 29.","Li Q","Inj Prev","2020","2019/03/31","PMC10167891","NIHMS1867268","10.1136/injuryprev-2018-043071"
"15885612","Are speed enforcement cameras more effective than other speed management measures? The impact of speed management schemes on 30 mph roads","Mountain LJ, Hirst WM, Maher MJ.","Accid Anal Prev. 2005 Jul;37(4):742-54. doi: 10.1016/j.aap.2005.03.017.","Mountain LJ","Accid Anal Prev","2005","2005/05/12","","","10.1016/j.aap.2005.03.017"
"21946152","The need and benefit of augmented feedback on service speed in tennis","Moran KA, Murphy C, Marshall B.","Med Sci Sports Exerc. 2012 Apr;44(4):754-60. doi: 10.1249/MSS.0b013e3182376a13.","Moran KA","Med Sci Sports Exerc","2012","2011/09/28","","","10.1249/MSS.0b013e3182376a13"
"15876417","Are speed enforcement cameras more effective than other speed management measures? An evaluation of the relationship between speed and accident reductions","Hirst WM, Mountain LJ, Maher MJ.","Accid Anal Prev. 2005 Jul;37(4):731-41. doi: 10.1016/j.aap.2005.03.014.","Hirst WM","Accid Anal Prev","2005","2005/05/07","","","10.1016/j.aap.2005.03.014"
"27837722","Investigation of drivers' behavior towards speeds using crash data and self-reported questionnaire","Hassan HM, Shawky M, Kishta M, Garib AM, Al-Harthei HA.","Accid Anal Prev. 2017 Jan;98:348-358. doi: 10.1016/j.aap.2016.10.027. Epub 2016 Nov 9.","Hassan HM","Accid Anal Prev","2017","2016/11/13","","","10.1016/j.aap.2016.10.027"
"30553428","An examination of the increases in pedestrian motor-vehicle crash fatalities during 2009-2016","Hu W, Cicchino JB.","J Safety Res. 2018 Dec;67:37-44. doi: 10.1016/j.jsr.2018.09.009. Epub 2018 Sep 27.","Hu W","J Safety Res","2018","2018/12/17","","","10.1016/j.jsr.2018.09.009"
"25879638","Overt vs. covert speed cameras in combination with delayed vs. immediate feedback to the offender","Marciano H, Setter P, Norman J.","Accid Anal Prev. 2015 Jun;79:231-40. doi: 10.1016/j.aap.2015.03.028. Epub 2015 Apr 13.","Marciano H","Accid Anal Prev","2015","2015/04/17","","","10.1016/j.aap.2015.03.028"
"29428639","Speeding in highway work zone: An Evaluation of methods of speed control","Ravani B, Wang C.","Accid Anal Prev. 2018 Apr;113:202-212. doi: 10.1016/j.aap.2018.01.030. Epub 2018 Mar 7.","Ravani B","Accid Anal Prev","2018","2018/02/12","","","10.1016/j.aap.2018.01.030"
"26311201","Assessing specific deterrence effects of increased speeding penalties using four measures of recidivism","Watson B, Siskind V, Fleiter JJ, Watson A, Soole D.","Accid Anal Prev. 2015 Nov;84:27-37. doi: 10.1016/j.aap.2015.08.006. Epub 2015 Aug 27.","Watson B","Accid Anal Prev","2015","2015/08/28","","","10.1016/j.aap.2015.08.006"
"19393813","Modeling drivers' speed selection as a trade-off behavior","Tarko AP.","Accid Anal Prev. 2009 May;41(3):608-16. doi: 10.1016/j.aap.2009.02.008. Epub 2009 Mar 9.","Tarko AP","Accid Anal Prev","2009","2009/04/28","","","10.1016/j.aap.2009.02.008"
"29214322","Road traffic accidents in children: the 'what', 'how' and 'why'","Lee YY, Fang E, Weng Y, Ganapathy S.","Singapore Med J. 2018 Apr;59(4):210-216. doi: 10.11622/smedj.2017114. Epub 2017 Dec 7.","Lee YY","Singapore Med J","2018","2017/12/08","PMC5915638","","10.11622/smedj.2017114"
"18836954","Evaluation of automated speed enforcement in Montgomery County, Maryland","Retting RA, Farmer CM, McCartt AT.","Traffic Inj Prev. 2008 Oct;9(5):440-5. doi: 10.1080/15389580802221333.","Retting RA","Traffic Inj Prev","2008","2008/10/07","","","10.1080/15389580802221333"
"18606284","Evaluation of automated speed enforcement on Loop 101 freeway in Scottsdale, Arizona","Retting RA, Kyrychenko SY, McCartt AT.","Accid Anal Prev. 2008 Jul;40(4):1506-12. doi: 10.1016/j.aap.2008.03.017. Epub 2008 Apr 30.","Retting RA","Accid Anal Prev","2008","2008/07/09","","","10.1016/j.aap.2008.03.017"
"16266937","Safety and economic impacts of photo radar program","Chen G.","Traffic Inj Prev. 2005 Dec;6(4):299-307. doi: 10.1080/15389580500253729.","Chen G","Traffic Inj Prev","2005","2005/11/04","","","10.1080/15389580500253729"
"21134517","Role of motorcycle type in fatal motorcycle crashes","Teoh ER, Campbell M.","J Safety Res. 2010 Dec;41(6):507-12. doi: 10.1016/j.jsr.2010.10.005. Epub 2010 Nov 12.","Teoh ER","J Safety Res","2010","2010/12/08","","","10.1016/j.jsr.2010.10.005"
"26683556","Improving the safety effect of speed camera programs through innovations: Evidence from the French experience","Blais E, Carnis L.","J Safety Res. 2015 Dec;55:135-45. doi: 10.1016/j.jsr.2015.08.007. Epub 2015 Sep 9.","Blais E","J Safety Res","2015","2015/12/20","","","10.1016/j.jsr.2015.08.007"
"29621142","A Vehicular Mobile Standard Instrument for Field Verification of Traffic Speed Meters Based on Dual-Antenna Doppler Radar Sensor","Du L, Sun Q, Cai C, Bai J, Fan Z, Zhang Y.","Sensors (Basel). 2018 Apr 5;18(4):1099. doi: 10.3390/s18041099.","Du L","Sensors (Basel)","2018","2018/04/06","PMC5948783","","10.3390/s18041099"
"20231601","Factors associated with self-reported risk-taking behaviour on ski slopes","Ruedl G, Pocecco E, Sommersacher R, Gatterer H, Kopp M, Nachbauer W, Burtscher M.","Br J Sports Med. 2010 Feb;44(3):204-6. doi: 10.1136/bjsm.2009.066779.","Ruedl G","Br J Sports Med","2010","2010/03/17","","","10.1136/bjsm.2009.066779"
"27428530","Relationships between unilateral horizontal and vertical drop jumps and 20 m sprint performance","Schuster D, Jones PA.","Phys Ther Sport. 2016 Sep;21:20-5. doi: 10.1016/j.ptsp.2016.02.007. Epub 2016 Mar 2.","Schuster D","Phys Ther Sport","2016","2016/07/19","","","10.1016/j.ptsp.2016.02.007"
"37084564","Leveraging probe data to model speeding on urban limited access highway segments: Examining the impact of operational performance, roadway characteristics, and COVID-19 pandemic","Marshall E, Shirazi M, Shahlaee A, Ivan JN.","Accid Anal Prev. 2023 Jul;187:107038. doi: 10.1016/j.aap.2023.107038. Epub 2023 Apr 19.","Marshall E","Accid Anal Prev","2023","2023/04/21","PMC10114923","","10.1016/j.aap.2023.107038"
"27504217","Calibration of Speed Enforcement Down-The-Road Radars","Jendzurski J, Paulter NG.","J Res Natl Inst Stand Technol. 2009 Jun 1;114(3):137-48. doi: 10.6028/jres.114.009. Print 2009 May-Jun.","Jendzurski J","J Res Natl Inst Stand Technol","2009","2016/08/10","PMC4646567","","10.6028/jres.114.009"
"18184508","Overall impact of speed-related initiatives and factors on crash outcomes","D'Elia A, Newstead S, Cameron M.","Annu Proc Assoc Adv Automot Med. 2007;51:465-84.","D'Elia A","Annu Proc Assoc Adv Automot Med","2007","2008/01/11","PMC3217506","",""
"37839305","A case-control study of the impact of automated speed enforcement on motorist speeds and speeding violations in Rwanda","Mesic A, Krebs E, Delavary M, Vanlaar W, Turner B, Neki K, Nzeyimana I.","Accid Anal Prev. 2024 Jan;194:107327. doi: 10.1016/j.aap.2023.107327. Epub 2023 Oct 14.","Mesic A","Accid Anal Prev","2024","2023/10/15","","","10.1016/j.aap.2023.107327"
"23031551","Turning off the cameras: Red light running characteristics and rates after photo enforcement legislation expired","Porter BE, Johnson KL, Bland JF.","Accid Anal Prev. 2013 Jan;50:1104-11. doi: 10.1016/j.aap.2012.08.017. Epub 2012 Sep 30.","Porter BE","Accid Anal Prev","2013","2012/10/04","","","10.1016/j.aap.2012.08.017"
"20845243","[Mean speed of winter sport participants depending on various factors]","Ruedl G, Sommersacher R, Woldrich T, Kopp M, Nachbauer W, Burtscher M.","Sportverletz Sportschaden. 2010 Sep;24(3):150-3. doi: 10.1055/s-0029-1245578. Epub 2010 Sep 15.","Ruedl G","Sportverletz Sportschaden","2010","2010/09/17","","","10.1055/s-0029-1245578"
"16950148","Association of intersection approach speed with driver characteristics, vehicle type and traffic conditions comparing urban and suburban areas","Liu BS.","Accid Anal Prev. 2007 Mar;39(2):216-23. doi: 10.1016/j.aap.2006.07.005. Epub 2006 Sep 6.","Liu BS","Accid Anal Prev","2007","2006/09/05","","","10.1016/j.aap.2006.07.005"
"24279969","Risk factors related to fatal truck crashes on Korean freeways","Choi S, Oh C, Kim M.","Traffic Inj Prev. 2014;15(1):73-80. doi: 10.1080/15389588.2013.778989.","Choi S","Traffic Inj Prev","2014","2013/11/28","","","10.1080/15389588.2013.778989"
"17055989","Is speeding a ""real"" antisocial behavior? A comparison with other antisocial behaviors","Poulter DR, McKenna FP.","Accid Anal Prev. 2007 Mar;39(2):384-9. doi: 10.1016/j.aap.2006.08.015. Epub 2006 Oct 23.","Poulter DR","Accid Anal Prev","2007","2006/10/24","","","10.1016/j.aap.2006.08.015"
"24739772","On the road to prevention: road injury and health promotion","Stevenson M, Thompson J.","Health Promot J Austr. 2014 Apr;25(1):4-7. doi: 10.1071/HE13075.","Stevenson M","Health Promot J Austr","2014","2014/04/18","","","10.1071/HE13075"
"30549463","A New Methodology for Before-After Safety Assessment Using Survival Analysis and Longitudinal Data","Xie K, Ozbay K, Yang H, Yang D.","Risk Anal. 2019 Jun;39(6):1342-1357. doi: 10.1111/risa.13251. Epub 2018 Dec 14.","Xie K","Risk Anal","2019","2018/12/15","","","10.1111/risa.13251"
"16581007","Characterizing red light runners following implementation of a photo enforcement program","Martinez KL, Porter BE.","Accid Anal Prev. 2006 Sep;38(5):862-70. doi: 10.1016/j.aap.2006.02.011. Epub 2006 Apr 11.","Martinez KL","Accid Anal Prev","2006","2006/04/04","","","10.1016/j.aap.2006.02.011"
"19393784","Evaluation of the Scottsdale Loop 101 automated speed enforcement demonstration program","Shin K, Washington SP, van Schalkwyk I.","Accid Anal Prev. 2009 May;41(3):393-403. doi: 10.1016/j.aap.2008.12.011. Epub 2009 Jan 29.","Shin K","Accid Anal Prev","2009","2009/04/28","","","10.1016/j.aap.2008.12.011"
"26007230","Automated speed enforcement systems to reduce traffic-related injuries: closing the policy implementation gap","Morain SR, Gielen AC, Bhalla K.","Inj Prev. 2016 Feb;22(1):79-83. doi: 10.1136/injuryprev-2014-041507. Epub 2015 May 25.","Morain SR","Inj Prev","2016","2015/05/27","","","10.1136/injuryprev-2014-041507"
"25052496","Rapid assessment of road safety policy change: relaxation of the national speed enforcement law in Russia leads to large increases in the prevalence of speeding","Bhalla K, Paichadze N, Gupta S, Kliavin V, Gritsenko E, Bishai D, Hyder AA.","Inj Prev. 2015 Feb;21(1):53-6. doi: 10.1136/injuryprev-2014-041189. Epub 2014 Jul 22.","Bhalla K","Inj Prev","2015","2014/07/24","","","10.1136/injuryprev-2014-041189"
"24377780","The prevalence of speeding and drunk driving in two cities in China: a mid project evaluation of ongoing road safety interventions","Bhalla K, Li Q, Duan L, Wang Y, Bishai D, Hyder AA.","Injury. 2013 Dec;44 Suppl 4:S49-56. doi: 10.1016/S0020-1383(13)70213-4.","Bhalla K","Injury","2013","2014/01/01","","","10.1016/S0020-1383(13)70213-4"
"21994881","Motor vehicle injuries in Qatar: time trends in a rapidly developing Middle Eastern nation","Mamtani R, Al-Thani MH, Al-Thani AA, Sheikh JI, Lowenfels AB.","Inj Prev. 2012 Apr;18(2):130-2. doi: 10.1136/injuryprev-2011-040147. Epub 2011 Oct 12.","Mamtani R","Inj Prev","2012","2011/10/14","PMC3311870","","10.1136/injuryprev-2011-040147"
"23727551","The effect of Operation 24 Hours on reducing collision in the City of Edmonton","Halim S, Jiang H.","Accid Anal Prev. 2013 Sep;58:106-14. doi: 10.1016/j.aap.2013.04.031. Epub 2013 May 10.","Halim S","Accid Anal Prev","2013","2013/06/04","","","10.1016/j.aap.2013.04.031"
"17617240","Examining driver behavior using data gathered from red light photo enforcement cameras","Yang CY, Najm WG.","J Safety Res. 2007;38(3):311-21. doi: 10.1016/j.jsr.2007.01.008. Epub 2007 Jun 4.","Yang CY","J Safety Res","2007","2007/07/10","","","10.1016/j.jsr.2007.01.008"
"20352551","Situational factors associated with road traffic crashes: a case-control study on the Yaoundé-Douala road section, Cameroon","Bhatti JA, Sobngwi-Tambekou J, Lagarde E, Salmi LR.","Int J Inj Contr Saf Promot. 2010 Dec;17(4):215-22. doi: 10.1080/17457301003728510.","Bhatti JA","Int J Inj Contr Saf Promot","2010","2010/03/31","","","10.1080/17457301003728510"
